DENG;INDEX_I;TIME_INDEX;DATES
2.94736;150.0;0;01.Jan.2022
2.94736;151.0;0;01.Jan.2022
2.94736;152.0;0;01.Jan.2022
2.94736;153.0;0;01.Jan.2022
2.94736;154.0;0;01.Jan.2022
2.94736;155.0;0;01.Jan.2022
2.94736;156.0;0;01.Jan.2022
2.94736;157.0;0;01.Jan.2022
2.94736;158.0;0;01.Jan.2022
2.94736;159.0;0;01.Jan.2022
2.94736;160.0;0;01.Jan.2022
2.94736;161.0;0;01.Jan.2022
2.94736;162.0;0;01.Jan.2022
2.94736;163.0;0;01.Jan.2022
2.94736;164.0;0;01.Jan.2022
2.94736;165.0;0;01.Jan.2022
2.94736;166.0;0;01.Jan.2022
2.94736;167.0;0;01.Jan.2022
2.94736;168.0;0;01.Jan.2022
2.94736;169.0;0;01.Jan.2022
2.94736;170.0;0;01.Jan.2022
2.94736;171.0;0;01.Jan.2022
2.94736;172.0;0;01.Jan.2022
2.94736;173.0;0;01.Jan.2022
2.94736;174.0;0;01.Jan.2022
2.94736;175.0;0;01.Jan.2022
2.94736;176.0;0;01.Jan.2022
2.94736;177.0;0;01.Jan.2022
2.94736;178.0;0;01.Jan.2022
2.94736;179.0;0;01.Jan.2022
2.94736;180.0;0;01.Jan.2022
2.94736;181.0;0;01.Jan.2022
2.94736;182.0;0;01.Jan.2022
2.94736;183.0;0;01.Jan.2022
2.94736;184.0;0;01.Jan.2022
2.94736;185.0;0;01.Jan.2022
2.94736;186.0;0;01.Jan.2022
2.94736;187.0;0;01.Jan.2022
2.94736;188.0;0;01.Jan.2022
2.94736;189.0;0;01.Jan.2022
2.94736;190.0;0;01.Jan.2022
2.94736;191.0;0;01.Jan.2022
2.94736;192.0;0;01.Jan.2022
2.94736;193.0;0;01.Jan.2022
2.94736;194.0;0;01.Jan.2022
2.94736;195.0;0;01.Jan.2022
2.94736;196.0;0;01.Jan.2022
2.94736;197.0;0;01.Jan.2022
2.94736;198.0;0;01.Jan.2022
2.94736;199.0;0;01.Jan.2022
2.94736;200.0;0;01.Jan.2022
25.36872;1.0;1;04.Jan.2022
25.36872;2.0;1;04.Jan.2022
25.36872;3.0;1;04.Jan.2022
25.36872;4.0;1;04.Jan.2022
25.36872;5.0;1;04.Jan.2022
25.36872;6.0;1;04.Jan.2022
25.36872;7.0;1;04.Jan.2022
25.36872;8.0;1;04.Jan.2022
25.36872;9.0;1;04.Jan.2022
25.36872;10.0;1;04.Jan.2022
25.36872;11.0;1;04.Jan.2022
25.36872;12.0;1;04.Jan.2022
25.36872;13.0;1;04.Jan.2022
25.36872;14.0;1;04.Jan.2022
25.36872;15.0;1;04.Jan.2022
25.36872;16.0;1;04.Jan.2022
25.36871;17.0;1;04.Jan.2022
25.36871;18.0;1;04.Jan.2022
25.36871;19.0;1;04.Jan.2022
25.36871;20.0;1;04.Jan.2022
25.36871;21.0;1;04.Jan.2022
25.3687;22.0;1;04.Jan.2022
25.3687;23.0;1;04.Jan.2022
25.3687;24.0;1;04.Jan.2022
25.36869;25.0;1;04.Jan.2022
25.36868;26.0;1;04.Jan.2022
25.36868;27.0;1;04.Jan.2022
25.36867;28.0;1;04.Jan.2022
25.36866;29.0;1;04.Jan.2022
25.36865;30.0;1;04.Jan.2022
