DEPTH;RV;TIME_INDEX;DATES
494.5;1.0;1;04.Jan.2022
495.0;1.0;1;04.Jan.2022
495.5;1.0;1;04.Jan.2022
496.0;1.0;1;04.Jan.2022
496.5;1.0;1;04.Jan.2022
497.0;1.0;1;04.Jan.2022
497.5;1.0;1;04.Jan.2022
498.0;1.0;1;04.Jan.2022
498.5;1.0;1;04.Jan.2022
499.0;1.0;1;04.Jan.2022
499.5;1.0;1;04.Jan.2022
400.0;0.01739;2;31.Jan.2022
400.5;0.01743;2;31.Jan.2022
401.0;0.01751;2;31.Jan.2022
401.5;0.01764;2;31.Jan.2022
402.0;0.01781;2;31.Jan.2022
402.5;0.01802;2;31.Jan.2022
403.0;0.01828;2;31.Jan.2022
403.5;0.01858;2;31.Jan.2022
404.0;0.01892;2;31.Jan.2022
404.5;0.01931;2;31.Jan.2022
405.0;0.01974;2;31.Jan.2022
405.5;0.02022;2;31.Jan.2022
406.0;0.02075;2;31.Jan.2022
406.5;0.02133;2;31.Jan.2022
407.0;0.02195;2;31.Jan.2022
407.5;0.02263;2;31.Jan.2022
408.0;0.02336;2;31.Jan.2022
408.5;0.02414;2;31.Jan.2022
409.0;0.02498;2;31.Jan.2022
409.5;0.02587;2;31.Jan.2022
410.0;0.02682;2;31.Jan.2022
410.5;0.02783;2;31.Jan.2022
411.0;0.0289;2;31.Jan.2022
411.5;0.03003;2;31.Jan.2022
412.0;0.03123;2;31.Jan.2022
412.5;0.03249;2;31.Jan.2022
413.0;0.03383;2;31.Jan.2022
413.5;0.03523;2;31.Jan.2022
414.0;0.03671;2;31.Jan.2022
414.5;0.03826;2;31.Jan.2022
415.0;0.03989;2;31.Jan.2022
415.5;0.0416;2;31.Jan.2022
416.0;0.0434;2;31.Jan.2022
416.5;0.04528;2;31.Jan.2022
417.0;0.04725;2;31.Jan.2022
417.5;0.04931;2;31.Jan.2022
418.0;0.05147;2;31.Jan.2022
418.5;0.05372;2;31.Jan.2022
419.0;0.05607;2;31.Jan.2022
419.5;0.05853;2;31.Jan.2022
420.0;0.0611;2;31.Jan.2022
420.5;0.06377;2;31.Jan.2022
421.0;0.06657;2;31.Jan.2022
421.5;0.06947;2;31.Jan.2022
422.0;0.0725;2;31.Jan.2022
422.5;0.07566;2;31.Jan.2022
423.0;0.07894;2;31.Jan.2022
423.5;0.08235;2;31.Jan.2022
424.0;0.0859;2;31.Jan.2022
424.5;0.08959;2;31.Jan.2022
425.0;0.09342;2;31.Jan.2022
425.5;0.0974;2;31.Jan.2022
426.0;0.10153;2;31.Jan.2022
426.5;0.10581;2;31.Jan.2022
427.0;0.11025;2;31.Jan.2022
427.5;0.11485;2;31.Jan.2022
428.0;0.11961;2;31.Jan.2022
428.5;0.12455;2;31.Jan.2022
429.0;0.12965;2;31.Jan.2022
429.5;0.13493;2;31.Jan.2022
430.0;0.14039;2;31.Jan.2022
430.5;0.14603;2;31.Jan.2022
431.0;0.15186;2;31.Jan.2022
431.5;0.15787;2;31.Jan.2022
432.0;0.16407;2;31.Jan.2022
432.5;0.17047;2;31.Jan.2022
433.0;0.17705;2;31.Jan.2022
433.5;0.18384;2;31.Jan.2022
434.0;0.19082;2;31.Jan.2022
434.5;0.198;2;31.Jan.2022
435.0;0.20538;2;31.Jan.2022
435.5;0.21296;2;31.Jan.2022
436.0;0.22074;2;31.Jan.2022
436.5;0.22872;2;31.Jan.2022
437.0;0.2369;2;31.Jan.2022
437.5;0.24528;2;31.Jan.2022
438.0;0.25385;2;31.Jan.2022
438.5;0.26262;2;31.Jan.2022
439.0;0.27159;2;31.Jan.2022
439.5;0.28074;2;31.Jan.2022
440.0;0.29008;2;31.Jan.2022
440.5;0.29961;2;31.Jan.2022
441.0;0.30931;2;31.Jan.2022
441.5;0.31918;2;31.Jan.2022
442.0;0.32922;2;31.Jan.2022
442.5;0.33943;2;31.Jan.2022
443.0;0.34978;2;31.Jan.2022
443.5;0.36028;2;31.Jan.2022
444.0;0.37092;2;31.Jan.2022
444.5;0.38169;2;31.Jan.2022
445.0;0.39258;2;31.Jan.2022
445.5;0.40357;2;31.Jan.2022
446.0;0.41467;2;31.Jan.2022
446.5;0.42586;2;31.Jan.2022
447.0;0.43713;2;31.Jan.2022
