DEPTH;PRESSURE;TIME_INDEX;DATES
455.5;40.03162;1;04.Jan.2022
456.0;40.03282;1;04.Jan.2022
456.5;40.03402;1;04.Jan.2022
457.0;40.03524;1;04.Jan.2022
457.5;40.03646;1;04.Jan.2022
458.0;40.0377;1;04.Jan.2022
458.5;40.03894;1;04.Jan.2022
459.0;40.04019;1;04.Jan.2022
459.5;40.04145;1;04.Jan.2022
460.0;40.04271;1;04.Jan.2022
460.5;40.04397;1;04.Jan.2022
461.0;40.04524;1;04.Jan.2022
461.5;40.04651;1;04.Jan.2022
462.0;40.04779;1;04.Jan.2022
462.5;40.04906;1;04.Jan.2022
463.0;40.05034;1;04.Jan.2022
463.5;40.05162;1;04.Jan.2022
464.0;40.05291;1;04.Jan.2022
464.5;40.05419;1;04.Jan.2022
465.0;40.05548;1;04.Jan.2022
465.5;40.05677;1;04.Jan.2022
466.0;40.05806;1;04.Jan.2022
466.5;40.05935;1;04.Jan.2022
467.0;40.06063;1;04.Jan.2022
467.5;40.06192;1;04.Jan.2022
468.0;40.06322;1;04.Jan.2022
468.5;40.06451;1;04.Jan.2022
469.0;40.0658;1;04.Jan.2022
469.5;40.06709;1;04.Jan.2022
470.0;40.06839;1;04.Jan.2022
470.5;40.06968;1;04.Jan.2022
471.0;40.07098;1;04.Jan.2022
471.5;40.07227;1;04.Jan.2022
472.0;40.07356;1;04.Jan.2022
472.5;40.07486;1;04.Jan.2022
473.0;40.07615;1;04.Jan.2022
473.5;40.07745;1;04.Jan.2022
474.0;40.07874;1;04.Jan.2022
474.5;40.08004;1;04.Jan.2022
475.0;40.08133;1;04.Jan.2022
475.5;40.08263;1;04.Jan.2022
476.0;40.08392;1;04.Jan.2022
476.5;40.08522;1;04.Jan.2022
477.0;40.08651;1;04.Jan.2022
477.5;40.08781;1;04.Jan.2022
478.0;40.0891;1;04.Jan.2022
478.5;40.0904;1;04.Jan.2022
479.0;40.09169;1;04.Jan.2022
479.5;40.09299;1;04.Jan.2022
480.0;40.09428;1;04.Jan.2022
480.5;40.09558;1;04.Jan.2022
481.0;40.09687;1;04.Jan.2022
481.5;40.09817;1;04.Jan.2022
482.0;40.09946;1;04.Jan.2022
482.5;40.10076;1;04.Jan.2022
483.0;40.10206;1;04.Jan.2022
483.5;40.10336;1;04.Jan.2022
484.0;40.10465;1;04.Jan.2022
484.5;40.10595;1;04.Jan.2022
485.0;40.10724;1;04.Jan.2022
485.5;40.10854;1;04.Jan.2022
486.0;40.10983;1;04.Jan.2022
486.5;40.11113;1;04.Jan.2022
487.0;40.11243;1;04.Jan.2022
487.5;40.11372;1;04.Jan.2022
488.0;40.11502;1;04.Jan.2022
488.5;40.11631;1;04.Jan.2022
489.0;40.11761;1;04.Jan.2022
489.5;40.11891;1;04.Jan.2022
490.0;40.1202;1;04.Jan.2022
490.5;40.1215;1;04.Jan.2022
491.0;40.1228;1;04.Jan.2022
491.5;40.1241;1;04.Jan.2022
492.0;40.12539;1;04.Jan.2022
492.5;40.12669;1;04.Jan.2022
493.0;40.12799;1;04.Jan.2022
493.5;40.12928;1;04.Jan.2022
494.0;40.13058;1;04.Jan.2022
494.5;40.13187;1;04.Jan.2022
495.0;40.13317;1;04.Jan.2022
495.5;40.13447;1;04.Jan.2022
496.0;40.13577;1;04.Jan.2022
496.5;40.13706;1;04.Jan.2022
497.0;40.13836;1;04.Jan.2022
497.5;40.13966;1;04.Jan.2022
498.0;40.14095;1;04.Jan.2022
