DEPTH;GAS_DEN;TIME_INDEX;DATES
464.5;26.07759;1;04.Jan.2022
465.0;26.12048;1;04.Jan.2022
465.5;26.15783;1;04.Jan.2022
466.0;26.19034;1;04.Jan.2022
466.5;26.21863;1;04.Jan.2022
467.0;26.24325;1;04.Jan.2022
467.5;26.26468;1;04.Jan.2022
468.0;26.28333;1;04.Jan.2022
468.5;26.29958;1;04.Jan.2022
469.0;26.31373;1;04.Jan.2022
469.5;26.32607;1;04.Jan.2022
470.0;26.33685;1;04.Jan.2022
470.5;26.34626;1;04.Jan.2022
471.0;26.3545;1;04.Jan.2022
471.5;26.36172;1;04.Jan.2022
472.0;26.36807;1;04.Jan.2022
472.5;26.37365;1;04.Jan.2022
473.0;26.37858;1;04.Jan.2022
473.5;26.38295;1;04.Jan.2022
474.0;26.38682;1;04.Jan.2022
474.5;26.39027;1;04.Jan.2022
475.0;26.39336;1;04.Jan.2022
475.5;26.39614;1;04.Jan.2022
476.0;26.39864;1;04.Jan.2022
476.5;26.40091;1;04.Jan.2022
477.0;26.40299;1;04.Jan.2022
477.5;26.40488;1;04.Jan.2022
478.0;26.40664;1;04.Jan.2022
478.5;26.40826;1;04.Jan.2022
479.0;26.40977;1;04.Jan.2022
479.5;26.41119;1;04.Jan.2022
480.0;26.41252;1;04.Jan.2022
480.5;26.41379;1;04.Jan.2022
481.0;26.41499;1;04.Jan.2022
481.5;26.41615;1;04.Jan.2022
482.0;26.41725;1;04.Jan.2022
482.5;26.41832;1;04.Jan.2022
483.0;26.41936;1;04.Jan.2022
483.5;26.42037;1;04.Jan.2022
484.0;26.42135;1;04.Jan.2022
484.5;26.42232;1;04.Jan.2022
485.0;26.42326;1;04.Jan.2022
485.5;26.42419;1;04.Jan.2022
486.0;26.42511;1;04.Jan.2022
486.5;26.42601;1;04.Jan.2022
487.0;26.4269;1;04.Jan.2022
487.5;26.42779;1;04.Jan.2022
488.0;26.42867;1;04.Jan.2022
488.5;26.42954;1;04.Jan.2022
489.0;26.43041;1;04.Jan.2022
489.5;26.43127;1;04.Jan.2022
490.0;26.43213;1;04.Jan.2022
490.5;26.43299;1;04.Jan.2022
491.0;26.43384;1;04.Jan.2022
491.5;26.43469;1;04.Jan.2022
492.0;26.43554;1;04.Jan.2022
492.5;26.43639;1;04.Jan.2022
493.0;26.43723;1;04.Jan.2022
493.5;26.43808;1;04.Jan.2022
494.0;26.43892;1;04.Jan.2022
494.5;26.43976;1;04.Jan.2022
495.0;26.4406;1;04.Jan.2022
495.5;26.44144;1;04.Jan.2022
496.0;26.44228;1;04.Jan.2022
496.5;26.44312;1;04.Jan.2022
497.0;26.44396;1;04.Jan.2022
497.5;26.44479;1;04.Jan.2022
498.0;26.44563;1;04.Jan.2022
498.5;26.44647;1;04.Jan.2022
499.0;26.4473;1;04.Jan.2022
499.5;26.44814;1;04.Jan.2022
400.0;3.34189;2;31.Jan.2022
400.5;3.34289;2;31.Jan.2022
401.0;3.34488;2;31.Jan.2022
401.5;3.34786;2;31.Jan.2022
402.0;3.35183;2;31.Jan.2022
402.5;3.35681;2;31.Jan.2022
403.0;3.36281;2;31.Jan.2022
403.5;3.36983;2;31.Jan.2022
404.0;3.37789;2;31.Jan.2022
404.5;3.387;2;31.Jan.2022
405.0;3.39719;2;31.Jan.2022
405.5;3.40846;2;31.Jan.2022
406.0;3.42085;2;31.Jan.2022
406.5;3.43436;2;31.Jan.2022
