M:\Spring_2022\H2_Project\Case_3_Final\H2_H2O_Case3_noPC_final_v13_volmodifier.sr3
Time (day);{15, 1, 26}-Gas Saturation;{15, 1, 1}-Gas Saturation
9.916667;5.87791E-07;5.75346E-07
9.958333;5.8754E-07;5.75092E-07
10;5.87285E-07;5.74834E-07
10.041667;5.87027E-07;5.74572E-07
10.083333;5.86764E-07;5.74306E-07
10.125;5.86498E-07;5.74036E-07
10.166667;5.86228E-07;5.73763E-07
10.208333;5.85951E-07;5.73482E-07
10.25;5.8567E-07;5.73198E-07
10.291667;5.85387E-07;5.72911E-07
10.333333;5.85101E-07;5.72621E-07
10.375;5.84815E-07;5.72331E-07
10.416667;5.84525E-07;5.72037E-07
10.458333;5.84231E-07;5.7174E-07
10.5;5.83935E-07;5.7144E-07
10.541667;5.83636E-07;5.71137E-07
10.583333;5.83333E-07;5.70831E-07
10.625;5.83028E-07;5.70522E-07
10.666667;5.8272E-07;5.7021E-07
10.708333;5.82409E-07;5.69895E-07
10.75;5.82096E-07;5.69578E-07
10.791667;5.8178E-07;5.69258E-07
10.833333;5.81462E-07;5.68936E-07
10.875;5.81141E-07;5.68612E-07
10.916667;5.80817E-07;5.68283E-07
10.958333;5.80493E-07;5.67956E-07
11;5.80168E-07;5.67627E-07
11.041667;5.79843E-07;5.67298E-07
11.083333;5.79517E-07;5.66968E-07
11.125;5.7919E-07;5.66637E-07
11.166667;5.78862E-07;5.66305E-07
11.208333;5.78533E-07;5.65971E-07
11.25;5.78202E-07;5.65637E-07
11.291667;5.77872E-07;5.65303E-07
11.333333;5.77543E-07;5.6497E-07
11.375;5.77212E-07;5.64635E-07
11.416667;5.7688E-07;5.64299E-07
11.458333;5.76547E-07;5.63962E-07
11.5;5.76215E-07;5.63626E-07
11.541667;5.75883E-07;5.6329E-07
11.583333;5.75553E-07;5.62955E-07
11.625;5.75222E-07;5.62621E-07
11.666667;5.74894E-07;5.62289E-07
11.708333;5.74567E-07;5.61958E-07
11.75;5.74242E-07;5.61629E-07
11.791667;5.7392E-07;5.61304E-07
11.833333;5.73602E-07;5.60982E-07
11.875;5.73287E-07;5.60664E-07
11.916667;5.72976E-07;5.60349E-07
11.958333;5.72669E-07;5.60038E-07
12;5.72366E-07;5.59732E-07
12.041667;5.72068E-07;5.59431E-07
12.083333;5.71775E-07;5.59134E-07
12.125;5.71485E-07;5.58841E-07
12.166667;5.712E-07;5.58552E-07
12.208333;5.70918E-07;5.58268E-07
12.25;5.70641E-07;5.57987E-07
12.291667;5.70369E-07;5.57712E-07
12.333333;5.701E-07;5.5744E-07
12.375;5.69835E-07;5.57172E-07
12.416667;5.69575E-07;5.56909E-07
12.458333;5.69318E-07;5.56649E-07
12.5;5.69065E-07;5.56394E-07
12.541667;5.68817E-07;5.56142E-07
12.583333;5.68572E-07;5.55895E-07
12.625;5.68332E-07;5.55652E-07
12.666667;5.68096E-07;5.55413E-07
12.708333;5.67864E-07;5.55179E-07
12.75;5.67635E-07;5.54948E-07
12.791667;5.67411E-07;5.54721E-07
12.833333;5.67191E-07;5.54499E-07
12.875;5.66975E-07;5.5428E-07
12.916667;5.66762E-07;5.54065E-07
12.958333;5.66554E-07;5.53854E-07
13;5.66348E-07;5.53647E-07
13.041667;5.66147E-07;5.53443E-07
13.083333;5.65949E-07;5.53243E-07
13.125;5.65756E-07;5.53047E-07
13.166667;5.65566E-07;5.52855E-07
13.208333;5.65379E-07;5.52667E-07
13.25;5.65196E-07;5.52482E-07
13.291667;5.65017E-07;5.52301E-07
13.333333;5.6484E-07;5.52122E-07
13.375;5.64666E-07;5.51946E-07
13.416667;5.64495E-07;5.51774E-07
13.458333;5.64327E-07;5.51603E-07
13.5;5.64161E-07;5.51436E-07
13.541667;5.63998E-07;5.5127E-07
13.583333;5.63836E-07;5.51108E-07
13.625;5.63677E-07;5.50947E-07
13.666667;5.6352E-07;5.50788E-07
13.708333;5.63364E-07;5.5063E-07
13.75;5.6321E-07;5.50475E-07
13.791667;5.63058E-07;5.50321E-07
13.833333;5.62907E-07;5.50168E-07
13.875;5.62757E-07;5.50017E-07
13.916667;5.62608E-07;5.49866E-07
13.958333;5.62459E-07;5.49716E-07
14;5.62311E-07;5.49566E-07
14.041667;5.62163E-07;5.49416E-07
14.083333;5.62015E-07;5.49267E-07
14.125;5.61868E-07;5.49118E-07
14.166667;5.6172E-07;5.48969E-07
14.208333;5.61572E-07;5.48819E-07
14.25;5.61424E-07;5.4867E-07
14.291667;5.61278E-07;5.48522E-07
14.333333;5.61132E-07;5.48375E-07
14.375;5.60987E-07;5.48229E-07
14.416667;5.60843E-07;5.48083E-07
14.458333;5.60699E-07;5.47937E-07
14.5;5.60554E-07;5.47791E-07
14.541667;5.6041E-07;5.47645E-07
14.583333;5.6026E-07;5.47494E-07
14.625;5.60108E-07;5.4734E-07
14.666667;5.59955E-07;5.47185E-07
14.708333;5.59801E-07;5.4703E-07
14.75;5.59647E-07;5.46874E-07
14.791667;5.59493E-07;5.46718E-07
14.833333;5.59338E-07;5.46562E-07
14.875;5.59182E-07;5.46405E-07
14.916667;5.59026E-07;5.46247E-07
14.958333;5.58868E-07;5.46088E-07
15;5.58709E-07;5.45927E-07
15.041667;5.58549E-07;5.45765E-07
15.083333;5.58391E-07;5.45605E-07
15.125;5.58228E-07;5.45441E-07
15.166667;5.58066E-07;5.45277E-07
15.208333;5.57903E-07;5.45113E-07
15.25;5.57738E-07;5.44946E-07
15.291667;5.5757E-07;5.44776E-07
