Distance (m);450 m,Pressure,2022-Jan-01,Case_2_revised_Final_v8.sr3 (kPa);450 m,Pressure,2022-Jan-04,Case_2_revised_Final_v8.sr3 (kPa);450 m,Pressure,2022-Jan-31,Case_2_revised_Final_v8.sr3 (kPa);450 m,Pressure,2023-Jan-01,Case_2_revised_Final_v8.sr3 (kPa);450 m,Pressure,2027-Jan-01,Case_2_revised_Final_v8.sr3 (kPa)
15.5;4012.563965;4011.758545;4014.569336;4014.658447;4014.810059
16;4012.563965;4011.758057;4014.564941;4014.658203;4014.810059
16.5;4012.563965;4011.757324;4014.560547;4014.658203;4014.810059
17;4012.563965;4011.756836;4014.556152;4014.658203;4014.810059
17.5;4012.563965;4011.756104;4014.551514;4014.658203;4014.810059
18;4012.563965;4011.755615;4014.546631;4014.657959;4014.810059
18.5;4012.563965;4011.754883;4014.541992;4014.657959;4014.810059
19;4012.563965;4011.75415;4014.537109;4014.657959;4014.810059
19.5;4012.563965;4011.753418;4014.531982;4014.657959;4014.810059
20;4012.563965;4011.752686;4014.526856;4014.657715;4014.810059
20.5;4012.563965;4011.751953;4014.521729;4014.657715;4014.810059
21;4012.563965;4011.751221;4014.516602;4014.657715;4014.810059
21.5;4012.563965;4011.750244;4014.511231;4014.657715;4014.810059
22;4012.563965;4011.749512;4014.505859;4014.657471;4014.810059
22.5;4012.563965;4011.748535;4014.500244;4014.657471;4014.810059
23;4012.563965;4011.747559;4014.494873;4014.657471;4014.810059
23.5;4012.563965;4011.746826;4014.489258;4014.657471;4014.810059
24;4012.563965;4011.74585;4014.483643;4014.657227;4014.810059
24.5;4012.563965;4011.744873;4014.477783;4014.657227;4014.810059
25;4012.563965;4011.743652;4014.471924;4014.657227;4014.810059
25.5;4012.563965;4011.742676;4014.466065;4014.657227;4014.810059
26;4012.563965;4011.741699;4014.460205;4014.656982;4014.810059
26.5;4012.563965;4011.740479;4014.454102;4014.656982;4014.810059
27;4012.563965;4011.739258;4014.448242;4014.656982;4014.810059
27.5;4012.563965;4011.738281;4014.442139;4014.656982;4014.810059
28;4012.563965;4011.737061;4014.436035;4014.656738;4014.810059
28.5;4012.563965;4011.73584;4014.429932;4014.656738;4014.810059
29;4012.563965;4011.734375;4014.423828;4014.656738;4014.810059
29.5;4012.563965;4011.733154;4014.417725;4014.656738;4014.810059
30;4012.563965;4011.73169;4014.411621;4014.656738;4014.810059
30.5;4012.563965;4011.730469;4014.405518;4014.656494;4014.810059
31;4012.563965;4011.729004;4014.399414;4014.656494;4014.810059
31.5;4012.563965;4011.727539;4014.393311;4014.656494;4014.810059
32;4012.563965;4011.726074;4014.387451;4014.656494;4014.810059
32.5;4012.563965;4011.724609;4014.381348;4014.65625;4014.810059
33;4012.563965;4011.7229;4014.375244;4014.65625;4014.810059
33.5;4012.563965;4011.721191;4014.369385;4014.65625;4014.810059
34;4012.563965;4011.719727;4014.363281;4014.65625;4014.810059
34.5;4012.563965;4011.717773;4014.357422;4014.656006;4014.810059
35;4012.563965;4011.716065;4014.351563;4014.656006;4014.810059
35.5;4012.563965;4011.714356;4014.345703;4014.656006;4014.810059
36;4012.563965;4011.712402;4014.340088;4014.655762;4014.810059
36.5;4012.563965;4011.710449;4014.334229;4014.655762;4014.810059
37;4012.563965;4011.708496;4014.328613;4014.655762;4014.810059
37.5;4012.563965;4011.706299;4014.323242;4014.655762;4014.810059
38;4012.563965;4011.704102;4014.317627;4014.655518;4014.810059
38.5;4012.563965;4011.701904;4014.312256;4014.655518;4014.810059
