Distance (m);450 m,Global Mole Fraction(H2),2022-Jan-01,Case_2_revised_Final_v8.sr3;450 m,Global Mole Fraction(H2),2022-Jan-04,Case_2_revised_Final_v8.sr3;450 m,Global Mole Fraction(H2),2022-Jan-31,Case_2_revised_Final_v8.sr3;450 m,Global Mole Fraction(H2),2023-Jan-01,Case_2_revised_Final_v8.sr3;450 m,Global Mole Fraction(H2),2027-Jan-01,Case_2_revised_Final_v8.sr3
87;1;0.999995172;0.955059409;0.500872791;0.479067981
87.5;1;0.999996006;0.957044363;0.501020014;0.479068428
88;1;0.999996662;0.958932698;0.501161575;0.479068875
88.5;1;0.999997258;0.960726559;0.501297534;0.479069322
89;1;0.999997735;0.962427616;0.501427591;0.47906971
89.5;1;0.999998152;0.964037776;0.501551986;0.479070097
90;1;0.99999845;0.965558767;0.50167048;0.479070485
90.5;1;0.999998689;0.966992378;0.501783133;0.479070842
91;1;0.999998927;0.968340278;0.501889944;0.47907117
91.5;1;0.999999106;0.969604075;0.501990914;0.479071468
92;1;0.999999225;0.97078532;0.502086103;0.479071766
92.5;1;0.999999344;0.971885562;0.502175391;0.479072064
93;1;0.999999464;0.972906113;0.502258897;0.479072303
93.5;1;0.999999583;0.973848343;0.502336502;0.479072541
94;1;0.999999642;0.974713385;0.502408206;0.47907275
94.5;1;0.999999702;0.975502431;0.50247401;0.479072958
95;1;0.999999762;0.976216316;0.502533913;0.479073137
95.5;1;0.999999821;0.976856232;0.502587795;0.479073286
96;1;0.999999821;0.977422774;0.502635777;0.479073435
96.5;1;0.999999881;0.977916837;0.502677739;0.479073554
97;1;0.999999881;0.978339016;0.502713799;0.479073644
97.5;1;0.999999881;0.978689969;0.502743781;0.479073733
98;1;0.999999881;0.978970051;0.502767742;0.479073793
98.5;1;0.999999881;0.979179859;0.502785623;0.479073823
99;1;0.999999881;0.979319453;0.502797604;0.479073852
99.5;1;0.999999881;0.97938931;0.502803504;0.479073882
