TOPS        PRESSURE   Group Index   Group Description     
480.50000   40.09399   0             01.Jan 2022 - 00:00:08
481.00000   40.09529   0             01.Jan 2022 - 00:00:08
481.50000   40.09658   0             01.Jan 2022 - 00:00:08
482.00000   40.09788   0             01.Jan 2022 - 00:00:08
482.50000   40.09917   0             01.Jan 2022 - 00:00:08
483.00000   40.10047   0             01.Jan 2022 - 00:00:08
483.50000   40.10176   0             01.Jan 2022 - 00:00:08
484.00000   40.10306   0             01.Jan 2022 - 00:00:08
484.50000   40.10436   0             01.Jan 2022 - 00:00:08
485.00000   40.10565   0             01.Jan 2022 - 00:00:08
485.50000   40.10695   0             01.Jan 2022 - 00:00:08
486.00000   40.10824   0             01.Jan 2022 - 00:00:08
486.50000   40.10954   0             01.Jan 2022 - 00:00:08
487.00000   40.11084   0             01.Jan 2022 - 00:00:08
487.50000   40.11213   0             01.Jan 2022 - 00:00:08
488.00000   40.11343   0             01.Jan 2022 - 00:00:08
488.50000   40.11472   0             01.Jan 2022 - 00:00:08
489.00000   40.11602   0             01.Jan 2022 - 00:00:08
489.50000   40.11731   0             01.Jan 2022 - 00:00:08
490.00000   40.11861   0             01.Jan 2022 - 00:00:08
490.50000   40.11991   0             01.Jan 2022 - 00:00:08
491.00000   40.12120   0             01.Jan 2022 - 00:00:08
491.50000   40.12250   0             01.Jan 2022 - 00:00:08
492.00000   40.12379   0             01.Jan 2022 - 00:00:08
492.50000   40.12509   0             01.Jan 2022 - 00:00:08
493.00000   40.12639   0             01.Jan 2022 - 00:00:08
493.50000   40.12768   0             01.Jan 2022 - 00:00:08
494.00000   40.12898   0             01.Jan 2022 - 00:00:08
494.50000   40.13028   0             01.Jan 2022 - 00:00:08
495.00000   40.13157   0             01.Jan 2022 - 00:00:08
495.50000   40.13287   0             01.Jan 2022 - 00:00:08
496.00000   40.13417   0             01.Jan 2022 - 00:00:08
496.50000   40.13546   0             01.Jan 2022 - 00:00:08
497.00000   40.13676   0             01.Jan 2022 - 00:00:08
497.50000   40.13805   0             01.Jan 2022 - 00:00:08
498.00000   40.13935   0             01.Jan 2022 - 00:00:08
498.50000   40.14065   0             01.Jan 2022 - 00:00:08
499.00000   40.14194   0             01.Jan 2022 - 00:00:08
499.50000   40.14324   0             01.Jan 2022 - 00:00:08
400.00000   39.99724   1             04.Jan 2022 - 00:00:00
400.50000   39.99738   1             04.Jan 2022 - 00:00:00
401.00000   39.99753   1             04.Jan 2022 - 00:00:00
401.50000   39.99767   1             04.Jan 2022 - 00:00:00
402.00000   39.99781   1             04.Jan 2022 - 00:00:00
402.50000   39.99796   1             04.Jan 2022 - 00:00:00
403.00000   39.99810   1             04.Jan 2022 - 00:00:00
403.50000   39.99825   1             04.Jan 2022 - 00:00:00
404.00000   39.99839   1             04.Jan 2022 - 00:00:00
404.50000   39.99854   1             04.Jan 2022 - 00:00:00
405.00000   39.99868   1             04.Jan 2022 - 00:00:00
405.50000   39.99882   1             04.Jan 2022 - 00:00:00
406.00000   39.99897   1             04.Jan 2022 - 00:00:00
406.50000   39.99911   1             04.Jan 2022 - 00:00:00
407.00000   39.99926   1             04.Jan 2022 - 00:00:00
407.50000   39.99940   1             04.Jan 2022 - 00:00:00
