TOPS        GAS_DEN    Group Index   Group Description     
491.50000   26.43376   0             01.Jan 2022 - 00:00:08
492.00000   26.43459   0             01.Jan 2022 - 00:00:08
492.50000   26.43543   0             01.Jan 2022 - 00:00:08
493.00000   26.43626   0             01.Jan 2022 - 00:00:08
493.50000   26.43710   0             01.Jan 2022 - 00:00:08
494.00000   26.43793   0             01.Jan 2022 - 00:00:08
494.50000   26.43877   0             01.Jan 2022 - 00:00:08
495.00000   26.43960   0             01.Jan 2022 - 00:00:08
495.50000   26.44044   0             01.Jan 2022 - 00:00:08
496.00000   26.44127   0             01.Jan 2022 - 00:00:08
496.50000   26.44211   0             01.Jan 2022 - 00:00:08
497.00000   26.44294   0             01.Jan 2022 - 00:00:08
497.50000   26.44378   0             01.Jan 2022 - 00:00:08
498.00000   26.44461   0             01.Jan 2022 - 00:00:08
498.50000   26.44545   0             01.Jan 2022 - 00:00:08
499.00000   26.44629   0             01.Jan 2022 - 00:00:08
499.50000   26.44712   0             01.Jan 2022 - 00:00:08
400.00000   2.93510    1             04.Jan 2022 - 00:00:00
400.50000   2.93511    1             04.Jan 2022 - 00:00:00
401.00000   2.93512    1             04.Jan 2022 - 00:00:00
401.50000   2.93513    1             04.Jan 2022 - 00:00:00
402.00000   2.93515    1             04.Jan 2022 - 00:00:00
402.50000   2.93516    1             04.Jan 2022 - 00:00:00
403.00000   2.93518    1             04.Jan 2022 - 00:00:00
403.50000   2.93519    1             04.Jan 2022 - 00:00:00
404.00000   2.93521    1             04.Jan 2022 - 00:00:00
404.50000   2.93523    1             04.Jan 2022 - 00:00:00
405.00000   2.93525    1             04.Jan 2022 - 00:00:00
405.50000   2.93527    1             04.Jan 2022 - 00:00:00
406.00000   2.93529    1             04.Jan 2022 - 00:00:00
406.50000   2.93532    1             04.Jan 2022 - 00:00:00
407.00000   2.93535    1             04.Jan 2022 - 00:00:00
407.50000   2.93538    1             04.Jan 2022 - 00:00:00
408.00000   2.93541    1             04.Jan 2022 - 00:00:00
408.50000   2.93545    1             04.Jan 2022 - 00:00:00
409.00000   2.93549    1             04.Jan 2022 - 00:00:00
409.50000   2.93554    1             04.Jan 2022 - 00:00:00
410.00000   2.93559    1             04.Jan 2022 - 00:00:00
410.50000   2.93565    1             04.Jan 2022 - 00:00:00
411.00000   2.93571    1             04.Jan 2022 - 00:00:00
411.50000   2.93579    1             04.Jan 2022 - 00:00:00
412.00000   2.93587    1             04.Jan 2022 - 00:00:00
412.50000   2.93596    1             04.Jan 2022 - 00:00:00
413.00000   2.93607    1             04.Jan 2022 - 00:00:00
413.50000   2.93619    1             04.Jan 2022 - 00:00:00
414.00000   2.93633    1             04.Jan 2022 - 00:00:00
414.50000   2.93649    1             04.Jan 2022 - 00:00:00
415.00000   2.93667    1             04.Jan 2022 - 00:00:00
415.50000   2.93687    1             04.Jan 2022 - 00:00:00
416.00000   2.93711    1             04.Jan 2022 - 00:00:00
416.50000   2.93737    1             04.Jan 2022 - 00:00:00
417.00000   2.93768    1             04.Jan 2022 - 00:00:00
417.50000   2.93803    1             04.Jan 2022 - 00:00:00
418.00000   2.93843    1             04.Jan 2022 - 00:00:00
418.50000   2.93889    1             04.Jan 2022 - 00:00:00
419.00000   2.93942    1             04.Jan 2022 - 00:00:00
419.50000   2.94003    1             04.Jan 2022 - 00:00:00
420.00000   2.94072    1             04.Jan 2022 - 00:00:00
420.50000   2.94152    1             04.Jan 2022 - 00:00:00
421.00000   2.94244    1             04.Jan 2022 - 00:00:00
421.50000   2.94349    1             04.Jan 2022 - 00:00:00
422.00000   2.94469    1             04.Jan 2022 - 00:00:00
422.50000   2.94608    1             04.Jan 2022 - 00:00:00
423.00000   2.94767    1             04.Jan 2022 - 00:00:00
423.50000   2.94949    1             04.Jan 2022 - 00:00:00
424.00000   2.95159    1             04.Jan 2022 - 00:00:00
424.50000   2.95400    1             04.Jan 2022 - 00:00:00
425.00000   2.95676    1             04.Jan 2022 - 00:00:00
425.50000   2.95993    1             04.Jan 2022 - 00:00:00
426.00000   2.96357    1             04.Jan 2022 - 00:00:00
426.50000   2.96775    1             04.Jan 2022 - 00:00:00
427.00000   2.97255    1             04.Jan 2022 - 00:00:00
427.50000   2.97806    1             04.Jan 2022 - 00:00:00
428.00000   2.98438    1             04.Jan 2022 - 00:00:00
428.50000   2.99163    1             04.Jan 2022 - 00:00:00
429.00000   2.99995    1             04.Jan 2022 - 00:00:00
429.50000   3.00949    1             04.Jan 2022 - 00:00:00
430.00000   3.02043    1             04.Jan 2022 - 00:00:00
430.50000   3.03298    1             04.Jan 2022 - 00:00:00
431.00000   3.04736    1             04.Jan 2022 - 00:00:00
431.50000   3.06384    1             04.Jan 2022 - 00:00:00
432.00000   3.08273    1             04.Jan 2022 - 00:00:00
432.50000   3.10436    1             04.Jan 2022 - 00:00:00
433.00000   3.12913    1             04.Jan 2022 - 00:00:00
433.50000   3.15748    1             04.Jan 2022 - 00:00:00
434.00000   3.18992    1             04.Jan 2022 - 00:00:00
434.50000   3.22702    1             04.Jan 2022 - 00:00:00
435.00000   3.26945    1             04.Jan 2022 - 00:00:00
435.50000   3.31793    1             04.Jan 2022 - 00:00:00
436.00000   3.37331    1             04.Jan 2022 - 00:00:00
436.50000   3.43654    1             04.Jan 2022 - 00:00:00
437.00000   3.50868    1             04.Jan 2022 - 00:00:00
437.50000   3.59093    1             04.Jan 2022 - 00:00:00
438.00000   3.68467    1             04.Jan 2022 - 00:00:00
438.50000   3.79141    1             04.Jan 2022 - 00:00:00
439.00000   3.91286    1             04.Jan 2022 - 00:00:00
439.50000   4.05093    1             04.Jan 2022 - 00:00:00
440.00000   4.20776    1             04.Jan 2022 - 00:00:00
440.50000   4.38570    1             04.Jan 2022 - 00:00:00
441.00000   4.58732    1             04.Jan 2022 - 00:00:00
441.50000   4.81345    1             04.Jan 2022 - 00:00:00
442.00000   5.06694    1             04.Jan 2022 - 00:00:00
442.50000   5.35099    1             04.Jan 2022 - 00:00:00
443.00000   5.66894    1             04.Jan 2022 - 00:00:00
443.50000   6.02425    1             04.Jan 2022 - 00:00:00
444.00000   6.42045    1             04.Jan 2022 - 00:00:00
444.50000   6.86110    1             04.Jan 2022 - 00:00:00
445.00000   7.34968    1             04.Jan 2022 - 00:00:00
445.50000   7.88943    1             04.Jan 2022 - 00:00:00
446.00000   8.48326    1             04.Jan 2022 - 00:00:00
446.50000   9.13340    1             04.Jan 2022 - 00:00:00
